PNUM,PARTICIPANTID,IPADDRESS,VAR00001,START,END,ORG,RANK,MOS,YRCOMMISSION,PLYESNO,PLMONTHS,NUMNCOSSUPERVISE,PROMOTEYESNO,BBAP1,BBAP2,BBAP3,BBAP4,BBAP5,BBAP6,BBAP7,BBAP8,SBAP1,SBAP2,SBAP3,SBAP4,SBAP5,SBAP6,SBAP7,SBAP8,SBAP9,SBAP10,SBAP11,SBAP12,SBAP13,SBAP14,SBAP15,SBAP16,SBAP17,SBAP18,SBAP19,SBAP20,SBAP21,SBAP22,SBAP23,SBAP24,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,SENIORITY,INVOLVEMENT,INVOLEMENTTEXT,MOSTCOMPETENT,OE1,OE2,APSCORE,COMPSCORE,SvC,SCvO,SvO,CvSC,CREATEAPOSITIVEENVIRONMENT,GETRESULTS,PREPARESELFTOLEAD,DEVELOPLEADERS,LEADBYEXAMPLE,COMMUNICATE,HANDLINGEMERGENCIES,INTERPERSONALADAPTABILITY,UNPREDICTABLEWORKSIT,PHYSICALLYORIENTED,LEARNINGNEWTECH,HANDLINGWORKSTRESS,CULTURALADAPTABILITY,SOLVINGPROBLEMSCREATIVELY,YRSSERVICE,RANKCODE,SAMPLENUMBER,SAMPLECODE,COMPSCOREMD,SENIORITYCODE,SENIORITYCODETTEST,APSCORETTEST,APSCOREH3,COMPSCOREH3,SENIORITYCODEH3,INTH3,CSCOREMDH4,INVOLVEMENTCODE,COMPxINVOLVE,COMPxRANK,BBCOMP,SBCOMP,NEWSENIORITY,NEWINTERACTION,H3SENIORITY,H3NEWINTERACTION,Z_AP,Z_COMP,ZCREATEAPOSITIVEENVIRONMENT,ZGETRESULTS,ZPREPARESELFTOLEAD,ZDEVELOPLEADERS,ZLEADBYEXAMPLE,ZCOMMUNICATE,CompetenceXSeniorityCodeTest
1,R_21hpb9NeIYWYAEy,68.6.157.173,1,11/30/2015 12:58:15,11/30/2015 13:15:34,1,2,11A,2007,1,26,16,1,5,6,6,5,6,5,6,4,6,6,5,7,7,6,6,6,4,2,3,4,5,4,5,6,3,5, ,7,4,5,3,5,6,5,3,6,4,6,7,7,6,6,2,1, ,2,"The senior NCO would be pretty upset and embarassed about getting passed over for promotion. Other than that, promotions should be based on talent not service time in a position.","Might not promote the best NCO, and the unit might suffer because of it. What happens if the senior squad leader is on profile because of a recent injury? Are you going to promote him still?",5.06,5.6,1,-1,1,-1,6.333333333,4.5,5.5,5,6,6,5.5,6.5,5.5,3.5,5,4.75,5.666666667,4.25,9,1, ,-1,-.014,.5,.5,5.06,5.06,5.6,.5,2.8,.054137931,.5,-.007,-.014,5.375,5.06,.5,-.007,-1,.014,-.16243798724309,-.0208942749686589,.77363939016019,-1.4173427191873,.378641800556328,-.511108176246289,-.0620444905704673,.67873688619653,2.8
2,R_7ZHQdh7wYieKUm1,171.66.214.130,1,12/1/2015 10:00:00,12/1/2015 10:10:10,1,2,11A,2007,1,30,60,1,6,7,7,7,6,5,6,6,7,6,7,7,5,5,6,2,6,6,7,7,6,7,6,7,6,7,7,6,6,6,7,7,7,5,6,7,7,7,6,7,5,7,2,2, ,2,"In my experience, they excel at getting the job done. Some other secondary tasks, such as mentorship and training of others tends to fall to the wayside as they focus on getting their job done.","Seniority based positional promotions do not always put the right guy in the job, fostering an environmen of frustration that the wrong got was positional promoted.",6.21875,6.4,1,-1,1,-1,7,6.5,6.5,5,7,5,6.5,6,5.25,6.75,6.25,6.25,6.25,6.5,9,1, ,-1,.786,.5,.5,6.21875,6.21875,6.4,.5,3.2,.854137931,-.5,-.393,.786,6.25,6.20833333333333,.5,.393,-1,-.786,1.48001417434444,1.17306429466898,1.6778932237838,.640090260278131,1.47792444733277,-.511108176246289,.868622867986533,-.193924824627579,3.2
3,R_1Yeh3PGe7Zztefz,198.98.83.235,1,12/1/2015 12:35:32,12/1/2015 12:59:48,1,2,11A,2011,1,12,13,1,7,6,6,7,7,6,5,6,6,5,4,5,6,5,6,5,5,5,6,7,6, ,7,6,6,5,5,6,4,3,4,7,6,7,6,5,5,7,6,6,5,6,2,2, ,2, , ,5.61,5.9,1,-1,1,-1,5.666666667,6,5.5,7,7,5,5.5,5.5,5.5,6.25,6.666666667,5.75,5,5,5,1, ,-1,.286,.5,.5,5.61,5.61,5.9,.5,2.95,.354137931,-.5,-.143,.286,6.25,5.61,.5,.143,-1,-.286,.61715095676825,.426840188645455,-.130614442107041,.125732015411775,.378641800556328,1.44443615026125,.868622867986533,-.193924824627579,2.95
4,R_bOsJL14EklsLJNH,143.71.249.85,1,12/1/2015 13:11:22,12/1/2015 13:49:32,1,1,19A,2012,1,24,6,1,4,5,2,7,3,5,5,2,4,3,2,4,2,3,4,5,2,3,5,6,3,2,3,3,4,5,5,5,6,3,5,3,4,3,2,3,6,4,5,4,3,5,1,2, ,2,Competence can be difficult to measure and record using objective metrics.  There are also likely deep-rooted norms within the Army against using competence as a basis for positional promotions.,"Seniority, far too often, is not an indicator of competence, resilience, or other qualities which should matter for advancement despite the chances that time could expose NCOs to greater developmental opportunities.",3.84375,3.9,-1,-1,-2,0,3.666666667,3.5,5.5,3,4,3,3.25,3.5,3.25,5.25,2.75,4.25,5.25,3.25,4,-1, ,-1,-1.714,-.5,-.5,3.84375,3.84375,3.9,-.5,-1.95,-1.645862069,-.5,.857,1.714,4.125,3.75,-.5,.857,1,-1.714,-1.88639262934089,-2.55805623544863,-2.8433759416215,-2.44605920892001,.378641800556328,-2.46665250275383,-1.92337920768447,-1.9392482462758,-1.95
5,R_bfScADGuAdGHwpr,24.96.50.60,1,12/1/2015 19:05:04,12/1/2015 19:31:51,1,2,11A,2010,1,17,6,1,5,6,3,5,4,6,2,7,2,3,3,4,5,3,4,6,2,3,3,4,6,3,4,6,3,4,6,5,3,2,3,3,6,4,3,3,5,4,7,7,5,4,1,2, ,2,In-fighting and animosity towards the junior NCO being promoted before the senior.  Especially if the junior NCO is in the direct chain of command.,"Looking at time limits the scope of why they person is being promoted.  There might also be a negative reason why a person has not been promoted, therefore will have more time in a specific grade because they are unable to be promoted.",4,4.8,-1,-1,-2,0,5.333333333,3.5,6,4,4,5,3.25,4.5,3.75,3.75,4.25,4.75,4,3.75,6,1, ,-1,-.814,-.5,-.5,4,4,4.8,-.5,-2.4,-.745862069,-.5,.407,-.814,4.75,3.75,-.5,.407,1,-.814,-1.66491849751949,-1.21485284460629,-.582741359597038,-2.44605920892001,.928283123944548,-1.48888033950006,-1.92337920768447,-.193924824627579,-2.4
6,R_2eUxR6GvMrWOawm,146.244.220.116,1,12/2/2015 7:39:37,12/2/2015 7:48:18,1,2,11A,2009,1,15,13,1,5,6,6,4,5,7,5,6,7,5,5,6,5,5,7,6,4,4,5,5,6,5,6,5,4,5,6,5,3,4,5,6,5,6,6,5,3,5,4,3,4,7,1,1, ,1, , ,5.25,4.8,-1,-1,-2,0,4.333333333,6.5,3.5,6,5,4,5.5,5.5,5.75,4.5,5.5,5.25,4.75,5.25,7,1, ,-1,-.814,-.5,-.5,5.25,5.25,4.8,-.5,-2.4,-.745862069,.5,-.407,-.814,5.5,5.16666666666667,-.5,.407,1,-.814,.106874557051737,-1.21485284460629,-1.93912210935427,.640090260278131,-1.81992349299655,.466663987007481,-.992711849127468,-1.06658653545169,-2.4
10,R_2cC4hH1Kx1c9HZs,147.169.236.95,1,12/2/2015 8:29:38,12/2/2015 8:43:43,1,2,11A,2010,1,10,5,1,4,7,5,6,3,3,4,4,6,4,2,5,4,5,3,3,3,6,7,6,5,3,3,4,4,5,6,6,5,4,4,5,7,6,4,6,2,6,6,5,7,5,3,2, ,2,They create the potential for NCOs with more time in grade/position to resent the rise of the more competent NCO over them.,They fail to promote meritocracy and instead reward lengthy service even when a more deserving or capable candidate exists.,4.5,5.4,0,2,1,1,6,4.5,4,6,6,7,4,5.25,3.5,6.25,3.5,4,5.25,4.25,6,1, ,-1,-.214,0,.5,5.09375,5.09375,5.5,.5,2.75,-.045862069,-.5,.107,-.214,4.5,4.5,-.5,.107,1,-.214,-.956201275690999,-.319383917378066,.321512474026575,-1.4173427191873,-1.27028216960833,.466663987007481,-.0620444905704673,1.55139859702064,2.7
11,R_1MLoOcVR85xAUgy,147.169.112.136,1,12/2/2015 8:29:04,12/2/2015 8:45:27,1,2,19A,2011,1,24,7,1,5,5,6,6,5,4,4,5,5,4,5,6,4,4,3,7,3,5,6,5,7,5,4,5,5,5,6,6,5,7,5,6,6,6,7,6,5,6,4,6,4,5,2,2, ,1,"Makes seniority-based NCOs unhappy, reflects bad on them.","Lack of competency, could result in mission failure.",5.09375,5.5,1,-1,1,-1,6,6,4.5,6,6,4,4.75,4.75,4.75,5.5,5.25,4.75,5.25,5.75,5,1, ,-1,-.114,.5,.5,5.96875,5.96875,6.2,.5,3.1,.654137931,-.5,.057,-.114,5,5.125,.5,-.057,-1,.114,-.114599574769667,-.170139096173363,.321512474026575,.125732015411775,-.720640846220112,.466663987007481,-.0620444905704673,-1.06658653545169,2.75
12,R_3pi5qWXcNHvVxbp,147.169.108.99,1,12/2/2015 8:34:11,12/2/2015 8:49:13,1,1,12A,2012,1,18,10,1,6,7,6,7,7,6,5,6,7,5,6,7,4,5,6,7,5,5,7,6,6,7,7,6,5,5,7,6,4,6,5,7,6,7,6,7,5,6,7,6,5,7,2,2, ,2,None,Not selecting the best qualified. You are not choosing the NCO based on their performance you are basing it solely on time in grade.,5.96875,6.2,1,-1,1,-1,6.333333333,6.5,6,7,6,5,6,5.75,6,6.25,6.75,5.5,5.5,6,4,-1, ,-1,.586,.5,.5,4.875,4.875,5.2,.5,2.6,-.345862069,-.5,-.293,-.586,6.25,5.875,.5,.293,-1,-.586,1.12565556343019,.874574652259567,.77363939016019,.640090260278131,.928283123944548,1.44443615026125,-.0620444905704673,-.193924824627579,3.1
13,R_2TS569PbxP0Q3qD,147.169.118.56,1,12/2/2015 8:32:55,12/2/2015 8:49:26,1,2,11A,2010,1,18,13,1,5,4,5,5,6,3,3,6,6,5,2,1,4,4,6,3,5,4,6,7,7,5,4,7,6,5,7,5,4,5,5,6,5,4,6,7,3,7,4,4,5,7,2,1, ,2,Hurt egos from senior NCOs with time in service. Culture shift.,"Positions are an obligation to promotion and timeline for rank. They aren't a privlidge. Serving as a leader is a privlidge, not an obligation.",4.875,5.2,1,-1,1,-1,5.333333333,6.5,3.5,4,7,5,4.5,3.25,4.75,5.5,5.5,5.25,4.75,5.5,6,1, ,-1,-.414,.5,.5,5.4375,5.4375,5.6,.5,2.8,.054137931,.5,-.207,-.414,4.625,4.95833333333333,.5,-.207,-1,.414,-.424663359319631,-.617873559787475,-.582741359597038,.640090260278131,-1.81992349299655,-1.48888033950006,.868622867986533,-.193924824627579,2.6
14,R_9BL7mlbHqTTpc1r,147.169.120.107,1,12/2/2015 8:34:56,12/2/2015 8:50:18,1,2,19A,2011,1,13,12,1,6,5,7,4,5,5,6,7,6,5,4,5,6,4,7,6,7,3,4,5,4,3,6,7,6,7,6,7,5,6,5,5,6,7,6,5,5,5,4,6,6,6,2,2, ,1,Not enough experience,Overlooking competence,5.4375,5.6,1,-1,1,-1,5.666666667,6,4.5,7,5,6,5.25,5,6.75,4,4.5,6.25,6,5.75,5,1, ,-1,-.014,.5,.5,5.25,5.25,5.3,.5,2.65,-.245862069,-.5,.007,-.014,5.625,5.375,.5,-.007,-1,.014,.37264351523742,-.0208942749686589,-.130614442107041,.125732015411775,-.720640846220112,1.44443615026125,-.992711849127468,.67873688619653,2.8
15,R_1Hnxn8FVXrasKYc,147.169.236.50,1,12/2/2015 8:37:25,12/2/2015 8:50:34,1,2,11A,2011,1,14,13,1,4,6,5,7,3,6,5,3,4,5,5,7,6,6,7,5,5,7,7,6,5,4,5,6,5,6,5,6,4,4,5,4,6,5,7,6,4,7,3,5,3,7,2,2, ,2,Can create a cut-throat environment where NCOs would not want to work together for the overall mission.,If the NCO is a dud and has been stuck at the same rank for a long time then the mission can be effected by giving them more responsibility.,5.25,5.3,1,-1,1,-1,5.666666667,7,3.5,5,7,3,4.5,6.25,5.5,6.75,4.25,5.75,5,4,5,1, ,-1,-.314,.5,.5,4.78125,4.78125,5.1,.5,2.55,-.445862069,-.5,.157,-.314,4.875,5.375,.5,-.157,-1,.314,.106874557051737,-.468628738582771,-.130614442107041,1.15444850514449,-1.81992349299655,-.511108176246289,.868622867986533,-1.9392482462758,2.65
16,R_QmPsQ8jn8C6yQa5,147.169.236.57,1,12/2/2015 8:35:25,12/2/2015 8:50:45,1,2,19A,2010,1,27,17,1,5,6,4,5,5,6,7,5,6,4,3,5,7,4,5,5,5,4,4,5,6,3,5,4,5,3,4,4,6,3,6,4,5,6,4,5,6,5,5,6,5,4,2,1, ,2,NCOs with seniority become offended by comptenece-based promotion.  The rating chain becomes overly complicated as an NCO can not rate an equivalent ranked individual that is senior in time in grade.,Seniority based promotions frequently result in a less competent person serving in the position of authority.,4.78125,5.1,1,-1,1,-1,5.333333333,4,5.5,6,5,5,4.5,5.5,4.75,4.5,4.75,4.5,5.25,4.5,6,1, ,-1,-.514,.5,.5,5.3125,5.3125,5.9,.5,2.95,.354137931,.5,-.257,-.514,5.375,4.58333333333333,.5,-.257,-1,.514,-.557547838412473,-.76711838099218,-.582741359597038,-1.93170096405365,.378641800556328,.466663987007481,-.992711849127468,-.193924824627579,2.55
17,R_2PhDXcRGsMvZwDY,147.169.108.90,1,12/2/2015 8:39:28,12/2/2015 8:55:18,1,2,11A,2011,1,24,13,1,5,3,5,6,5,5,4,6,5,5,6,5,4,6,6,5,5,6,6,6,5,7,5,5,6,6,5,6,5,5,6,5,6,6,5,6,5,7,5,7,6,6,2,2, ,2, , ,5.3125,5.9,1,-1,1,-1,6.333333333,5.5,5,6,7,6,5.25,4.5,5.25,6,5.5,5.5,5,5.5,5,1, ,-1,.286,.5,.5,5.53125,5.53125,5.8,.5,2.9,.254137931,-.5,-.143,.286,4.875,5.45833333333333,.5,.143,-1,-.286,.195464209780298,.426840188645455,.77363939016019,-.388626229454582,-.170999522831892,.466663987007481,.868622867986533,.67873688619653,2.95
18,R_2DTfv2MHlBDbO7G,71.92.47.229,1,12/2/2015 10:35:36,12/2/2015 10:44:19,1,2,19A,2011,1,28,11,1,6,5,6,7,6,5,5,7,7,7,5,6,7,6,5,6,7,6,7,7,6,6,5,6,5,6,6,7,5,6,7,7,6,7,7,6,5,7,5,6,5,7,3,2, ,1, , ,6.09375,6.1,0,2,1,1,6,7,5,7,7,5,6.25,6,6,6.75,5.75,5.5,5.75,6.75,5,1, ,-1,.486,0,-.5,5.875,5.875,7,-.5,-3.5,1.454137931,-.5,-.243,.486,5.875,6.16666666666667,-.5,-.243,1,.486,1.30283486888731,.725329831054862,.321512474026575,1.15444850514449,-.170999522831892,1.44443615026125,.868622867986533,-.193924824627579,-3.05
19,R_1BS0ZlylJrhLX5T,96.32.218.65,1,12/2/2015 11:33:37,12/2/2015 11:52:27,1,2,19A,2011,1,22,6,1,5,5,6,7,6,5,4,5,5,6,5,5,6,4,5,5,6,7,6,6,6,6,6,5,5,5,6,4,4,6,6,6,6,5,6,5,4,6,5,5,6,6,3,2, ,2,Subjectivity,The more competent NCO not serving in the position in which he can provide more value.,5.4375,5.4,0,2,1,1,5.333333333,6,4.5,5,6,6,5.25,5,5.5,6.5,6,5,4.5,5.75,5,1, ,-1,-.214,0,-.5,4.96875,4.96875,5.7,-.5,-2.85,.154137931,-.5,.107,-.214,5.375,5.45833333333333,-.5,.107,1,-.214,.37264351523742,-.319383917378066,-.582741359597038,.125732015411775,-.720640846220112,-.511108176246289,-.0620444905704673,.67873688619653,-2.7
20,R_1CHm5FQ9839t5eE,150.226.136.139,1,12/3/2015 8:29:29,12/3/2015 10:59:56,1,2,11A,2010,1,19,15,1,7,5,6,7,6,7,4,7,7,6,6,7,3,4,6,6,4,7,7,7,7,7,7,7,7,7,7,6,4,7,7,7,7,7,7,7,4,7,7,6,7,7,3,1, ,1,"Competence based promotion over time-in-position promotion could instigate resistance as it appears the constant or seemingly ""seasoned"" NCO is being passed up by the ""teacher's pet"".",The senior NCO isn't always the best. Sometimes you wouldn't want the senior PSG in the Company representing the Company at BN events etc.,6.21875,6.6,0,2,1,1,6.666666667,7,5.5,7,7,7,6.5,4.75,5.5,7,6.75,7,5.25,7,6,1, ,-1,.986,0,-.5,4.03125,4.03125,4.8,-.5,-2.4,-.745862069,.5,.493,.986,6.125,6.25,-.5,-.493,1,.986,1.48001417434444,1.47155393707838,1.22576630765019,1.15444850514449,.378641800556328,1.44443615026125,.868622867986533,1.55139859702064,-3.3
21,R_3NXrgeAvMrHMhkK,96.32.216.82,1,12/3/2015 20:25:20,12/3/2015 20:42:45,1,2,19A,2011,1,13,25,1,6,4,5,7,4,6,5,7,7,7,2,6,7,6,7,3,4,3,4,7,3,5,3,6,7,5,4,4,3,7,7,7,4,4,5,6,6,7,6,6,5,7,3,2, ,2,Animocity from peers,Weak teams,5.25,5.6,0,2,1,1,5.333333333,6,6,4,7,5,5.5,5.75,4.75,5.25,3.75,6,4,7,5,1, ,-1,-.014,0,-.5,4.5625,4.5625,5.3,-.5,-2.65,-.245862069,-.5,.007,-.014,5.5,5.16666666666667,-.5,.007,1,-.014,.106874557051737,-.0208942749686589,-.582741359597038,.125732015411775,.928283123944548,-1.48888033950006,.868622867986533,-.193924824627579,-2.8
22,R_2X4n33B8LsUgxrX,209.210.168.162,1,12/4/2015 9:19:43,12/4/2015 9:30:13,1,2,18A,2010,1,18,14,1,6,5,4,6,5,6,4,5,6,4,7,5,5,6,4,6,5,7,7,6,5,6,4,5,7,6,5,6,5,5,7,7,5,5,6,7,6,7,4,6,6,6,2,2, ,2,"Problems within the ranks if a NCO of lower rank receives a competence-based NCO positional promotion over a more senior NCO, and its affect on lower ranking soldiers.", ,5.53125,5.8,1,-1,1,-1,6,6,5,5,7,6,5.75,5.25,4.75,6.5,5,6,5,6,6,1, ,-1,.186,.5,.5,5.71875,5.71875,6.4,.5,3.2,.854137931,-.5,-.093,.186,5.125,5.66666666666667,.5,.093,-1,-.186,.505527994330262,.27759536744075,.321512474026575,.125732015411775,-.170999522831892,-.511108176246289,.868622867986533,.67873688619653,2.9
24,R_6gwZV48pBmSpiuJ,104.245.26.162,1,12/9/2015 8:45:34,12/9/2015 8:58:34,1,2,11A,2011,1,24,13,1,6,4,5,6,5,7,3,5,7,7,5,5,6,5,6,4,5,6,6,7,6,4,6,6,6,6,5,6,4,6,6,7,7,6,6,6,5,7,6,7,5,7,3,1, ,2,None,Often the most senior NCO is the one who has been passed over the most showing his,5.5625,6.2,0,2,1,1,6.666666667,6.5,5.5,6,7,5,6.25,5,5,6.25,5.25,6.25,4.5,6,5,1, ,-1,.586,0,-.5,4.46875,4.46875,5.7,-.5,-2.85,.154137931,.5,.293,.586,5.125,5.70833333333333,-.5,-.293,1,.586,.549822820694543,.874574652259567,1.22576630765019,.640090260278131,.378641800556328,.466663987007481,.868622867986533,-.193924824627579,-3.1
28,R_3kN6NdwD0MJZRE8,147.169.114.88,1,12/11/2015 7:39:24,12/11/2015 7:48:55,1,2,11A,2010,1,12,13,1,7,6,7,7,7,7,6,7,6,7,5,7,6,6,7,7,6,6,7,7,6,6,7,7,6,7,5,7,5,7,6,7,7,6,7,7,6,7,7,7,7,6,3,2, ,2,could cause conflict to a senior NCO,may not get the job done as well as another choice,6.46875,6.7,0,2,1,1,7,6.5,6.5,6,7,7,6.25,6.25,6.75,6.75,6.5,6.75,5.75,6.75,6,1, ,-1,1.086,0,.5,6,6,6,.5,3,.454137931,-.5,-.543,1.086,6.75,6.375,-.5,-.543,1,1.086,1.83437278525868,1.62079875828309,1.6778932237838,.640090260278131,1.47792444733277,.466663987007481,.868622867986533,1.55139859702064,3.35
29,R_Ufj1ZAO39Gp6xRn,147.169.116.43,1,12/11/2015 7:38:41,12/11/2015 7:49:12,1,2,11A,2010,1,13,5,1,7,6,6,7,7,7,6,6,7,5,4,5,5,5,6,6,6,5,5,7,4,7,4,6,6,6,5,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,1,1, ,1,Interaction with other NCOs with the same Rank,Competence of the position,5.875,7,-1,-1,-2,0,7,7,7,7,7,7,5.75,5.25,6,6,5.5,6.25,6,6.25,6,1, ,-1,1.386,-.5,.5,5.03125,5.03125,5.5,.5,2.75,-.045862069,.5,.693,1.386,6.5,5.66666666666667,-.5,-.693,1,1.386,.99277108433735,2.0685332218972,1.6778932237838,1.15444850514449,2.02756577072099,1.44443615026125,.868622867986533,1.55139859702064,3.5
